,CA,FT,CrT,CoT,GCT,BT,FPC
13/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
13/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
14/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
15/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
