,CA,FT,CrT,CoT,GCT,BT,FPC
20/1/2050 01:00,0,0,0,0,0,0,0
20/1/2050 02:00,0,0,0,0,0,0,0
20/1/2050 03:00,0,0,0,0,0,0,0
20/1/2050 04:00,0,0,0,0,0,0,0
20/1/2050 05:00,0,0,0,0,0,0,0
20/1/2050 06:00,0,0,0,0,0,0,0
20/1/2050 07:00,0,0,0,0,0,0,0
20/1/2050 08:00,0,0,0,0,0,0,0
20/1/2050 09:00,0,0,0,0,0,0,0
20/1/2050 10:00,0,0,0,0,0,0,0
20/1/2050 11:00,0,0,0,0,0,0,0
20/1/2050 12:00,0,0,0,0,0,0,0
20/1/2050 13:00,0,0,0,0,0,0,0
20/1/2050 14:00,0,0,0,0,0,0,0
20/1/2050 15:00,0,0,0,0,0,0,0
20/1/2050 16:00,0,0,0,0,0,0,0
20/1/2050 17:00,0,0,0,0,0,0,0
20/1/2050 18:00,0,0,0,0,0,0,0
20/1/2050 19:00,0,0,0,0,0,0,0
20/1/2050 20:00,0,0,0,0,0,0,0
20/1/2050 21:00,0,0,0,0,0,0,0
20/1/2050 22:00,0,0,0,0,0,0,0
20/1/2050 23:00,0,-261935,-645484,-1111700085,-174568760,-1135776847,0
21/1/2050 00:00,0,0,0,0,0,0,0
21/1/2050 01:00,0,0,0,0,0,0,0
21/1/2050 02:00,0,0,0,0,0,0,0
21/1/2050 03:00,0,0,0,0,0,0,0
21/1/2050 04:00,0,0,0,0,0,0,0
21/1/2050 05:00,0,0,0,0,0,0,0
21/1/2050 06:00,0,0,0,0,0,0,0
21/1/2050 07:00,0,0,0,0,0,0,0
21/1/2050 08:00,0,0,0,0,0,0,0
21/1/2050 09:00,0,0,0,0,0,0,0
21/1/2050 10:00,0,0,0,0,0,0,0
21/1/2050 11:00,0,0,0,0,0,0,0
21/1/2050 12:00,0,0,0,0,0,0,0
21/1/2050 13:00,0,0,0,0,0,0,0
21/1/2050 14:00,0,0,0,0,0,0,0
21/1/2050 15:00,0,0,0,0,0,0,0
21/1/2050 16:00,0,0,0,0,0,0,0
21/1/2050 17:00,0,0,0,0,0,0,0
21/1/2050 18:00,0,0,0,0,0,0,0
21/1/2050 19:00,0,0,0,0,0,0,0
21/1/2050 20:00,0,0,0,0,0,0,0
21/1/2050 21:00,0,0,0,0,0,0,0
21/1/2050 22:00,0,0,0,0,0,0,0
21/1/2050 23:00,0,-261935,-645484,-1111700085,-174568760,-1135776847,0
22/1/2050 00:00,0,0,0,0,0,0,0
22/1/2050 01:00,0,0,0,0,0,0,0
22/1/2050 02:00,0,0,0,0,0,0,0
22/1/2050 03:00,0,0,0,0,0,0,0
22/1/2050 04:00,0,0,0,0,0,0,0
22/1/2050 05:00,0,0,0,0,0,0,0
22/1/2050 06:00,0,0,0,0,0,0,0
22/1/2050 07:00,0,0,0,0,0,0,0
22/1/2050 08:00,0,0,0,0,0,0,0
22/1/2050 09:00,0,0,0,0,0,0,0
22/1/2050 10:00,0,0,0,0,0,0,0
22/1/2050 11:00,0,0,0,0,0,0,0
22/1/2050 12:00,0,0,0,0,0,0,0
22/1/2050 13:00,0,0,0,0,0,0,0
22/1/2050 14:00,0,0,0,0,0,0,0
22/1/2050 15:00,0,0,0,0,0,0,0
22/1/2050 16:00,0,0,0,0,0,0,0
22/1/2050 17:00,0,0,0,0,0,0,0
22/1/2050 18:00,0,0,0,0,0,0,0
22/1/2050 19:00,0,0,0,0,0,0,0
22/1/2050 20:00,0,0,0,0,0,0,0
22/1/2050 21:00,0,0,0,0,0,0,0
22/1/2050 22:00,0,0,0,0,0,0,0
22/1/2050 23:00,0,-261935,-645484,-1111700085,-174568760,-1135776847,0
23/1/2050 00:00,0,0,0,0,0,0,0
23/1/2050 01:00,0,0,0,0,0,0,0
23/1/2050 02:00,0,0,0,0,0,0,0
23/1/2050 03:00,0,0,0,0,0,0,0
23/1/2050 04:00,0,0,0,0,0,0,0
23/1/2050 05:00,0,0,0,0,0,0,0
23/1/2050 06:00,0,0,0,0,0,0,0
23/1/2050 07:00,0,0,0,0,0,0,0
23/1/2050 08:00,0,0,0,0,0,0,0
23/1/2050 09:00,0,0,0,0,0,0,0
23/1/2050 10:00,0,0,0,0,0,0,0
23/1/2050 11:00,0,0,0,0,0,0,0
23/1/2050 12:00,0,0,0,0,0,0,0
